GUID,Title,Abstract,status,"file url","Download count",URL,"Preprint DOI","Publisher DOI","Date created","Date modified"
q4znx,"An innovative designed machine or chamber build by multimodal approaches for COVID-19(SARS-CoV2) inactivation for household, office and hospital purpose","Inactivation of SARS- CoV 2 from different  items like vegetables, fruits, parcels, coins, masks, personal protection equipment, etc used in domestic, office and hospital purposes is now very essential work to break transmission of this pandemic virus. Washing of the purchased materials from markets, our hands and washing of other items by water or soap water have increased many folds.  For this purpose, an innovative machine (2ft length, 1.5ft breadth and 1.5 ft height) has been designed by multimodal approaches. The approaches includes UVC (254 nm), heat and copper metal  treatment for inactivation of SARS CoV2. Machine includes  two cycles, one UVC cycle and another heat cycle to inactivate or kill virus. Both cycles can be operated at one time or separately one after another. In this machine four UVC tubes (each 15 W) were fitted in different angles to irradiate maximum UVC to the items distantly located in the cabinet of machine. The dose of UVC, time of the exposure and maximum distance of the item were standardized in such as way that 99.999% inactivation of SARS- CoV2 occurred within 30 to 40 min The maximum dose  was 18,331 J/m2 of UVC in this cabinet. SARS CoV2 isolate multiplied in Vero-E6 cell line and treated by UVC cycle  at the maximum distance 9 inch and heat cycle at 50 to 600C temperature separately  for 30 to 40 min. Infectivity of treated virus was tested in Vero E6 cell line by TCID 50 assay  and this assay  has confirmed that this treated virus has no infection capacity. In conclusion, this designed cabinet must serve our society as proper decontamination or SARS CoV2 inactivation  in pandemic situation to break the transmission chain of this virus and save our precious water.",1,https://api.osf.io/v2/files/5f2d0287479288002585955d/,1,https://engrxiv.org/q4znx/,10.31224/osf.io/q4znx,,2020-08-07T13:20:17.654553,2020-08-07T13:20:48.749355
b86my,"An Approach for the Accurate Investigation of Full-Scale Ship Boundary Layers and Wakes","Existing recommended practices in the literature do not provide clear and concise guidance for the selection of the most suitable numerical modelling strategy for investigating the boundary layer around a ship at full scale. For example, the International Towing Tank Conference procedure for calculating the nominal wake fields of full-scale ships does not clearly specify which turbulence modelling approach should be used to accurately represent the near-wall flow in the ship’s aft region.
This paper presents a numerical approach that can accurately represent the boundary layer of full-scale ships. Three turbulence modelling strategies, suitable for the simulation of ship flows, have been assessed:  k-ε, k-ω SST RANS and an IDDES formulation. Results from each method have been compared against the full-scale ship propeller torque data of the MV Regal, a 138m long general cargo vessel. Additionally, the capability of each turbulence strategy to resolve time-dependent features of the flow, such as the bilge vortex and its effect on the boundary layer velocity fields, has been evaluated.
The results from this investigation show that the IDDES based numerical model replicated the sea trials measurements with the highest degree of accuracy. Furthermore, this study confirmed that the choice of turbulence strategy has a major impact on the full-scale velocity fields in the aft region of a ship.",1,https://api.osf.io/v2/files/5f2c78aa479288000d857b95/,5,https://engrxiv.org/b86my/,10.31224/osf.io/b86my,,2020-08-06T23:57:56.043762,2020-08-07T02:33:33.105696
pjkbq,"Machine-learning-assisted fabrication: Bayesian optimization of laser-induced graphene patterning using in-situ Raman analysis","The control of the physical, chemical, and electronic properties of laser-induced graphene (LIG) is crucial in the fabrication of flexible electronic devices. However, the optimization of LIG production is time-consuming and costly. Here, we demonstrate state-of-the-art automated parameter tuning techniques using Bayesian optimization to advance rapid single-step laser patterning and structuring capabilities with a view to fabricate graphene-based electronic devices. In particular, a large search space of parameters for LIG explored efficiently. As a result, high-quality LIG patterns exhibiting high Raman G/D ratios at least a factor of four larger than those found in the literature were achieved within 50 optimization iterations in which the laser power, irradiation time, pressure and type of gas were optimized. Human-interpretable conclusions may be derived from our machine learning model to aid our understanding of the underlying mechanism for substrate-dependent LIG growth, e.g. high-quality graphene patterns are obtained at low and high gas pressures for quartz and polyimide, respectively. Our Bayesian optimization search method allows for an efficient experimental design that is independent of the experience and skills of individual researchers, while reducing experimental time and cost and accelerating materials research.",1,https://api.osf.io/v2/files/5f2af0a99c909402bd487953/,5,https://engrxiv.org/pjkbq/,10.31224/osf.io/pjkbq,10.1016/j.carbon.2020.05.087,2020-08-06T14:55:57.261513,2020-08-06T14:58:02.537956
u47wc,"Investigation of the Onset of Turbulence in Boundary Layers and the Implications for Solutions of the Navier-Stokes Equations.","This paper investigates the onset of turbulence in incompressible viscous fluid
flow over a flat plate by looking at the pressure gradients implied by the Blasius solution for
laminar fluid flow and adjusting the predicted flow, leading to a mathematically predictable flow
separation in the boundary layer and the onset of turbulence. It then considers the implications
for potential analytic solutions to the Navier-Stokes Equations of the fact that the pressure term
is needed to predict the onset of turbulence and so can not be eliminated for possible solutions.",1,https://api.osf.io/v2/files/5f2adf965f705a02d2619597/,5,https://engrxiv.org/u47wc/,10.31224/osf.io/u47wc,,2020-08-06T03:15:23.604243,2020-08-06T03:15:41.229646
vmp3y,"Design and testing of a full-scale 2 MW tidal turbine blade","The Large Structures Research Group of MaREI, Orbital Marine Power Ltd and ÉireComposites Teo. have designed a full-scale blade for a next-generation 2 MW tidal turbine as part of the H2020 FloTEC project. The 8.5 m long blade will be tested under static load conditions through the H2020 MaRINET2 transnational access programme and fatigue conditions through the OCEAN ERA-NET SEABLADE project. This paper provides an overview of the initial design study which analysed the impact of using a single shear web or two shear webs in the design. The result of this design study led to optimisation of the laminates throughout the blade to reduce the cost of manufacture and, hence, the levelized cost of energy of the device. The finite element analyses were performed using the MaREI@NUI Galway composite blade design software BladeComp. From the results of the analyses a single web design was chosen for the blade. The present work also describes the set-up for the structural tests and an overview of the data acquisition and instrumentation requirements for full-scale static and fatigue blade testing.",1,https://api.osf.io/v2/files/5f2ac992b084f602bec99062/,7,https://engrxiv.org/vmp3y/,10.31224/osf.io/vmp3y,,2020-08-06T03:13:49.645229,2020-08-06T03:14:11.140015
zuvxf,"Matrix Manipulator","In computation involving matrices it is frequently necessary to interchange or rearrange rows or columns of a matrix. If the work is being done longhand or with a desk calculator, it is desirable to be able to perform the rearrangement without having to erase or rewrite numbers. In mathematics, matrix addition or subtraction, multiplication or the matrix product or any other arithmetic operation is a binary operation that produces a matrix from two matrices. 
The matrix manipulator was devised for the use in the Bureau’s statistical Engineering Laboratory for calculation with incidence matrices, i.e., matrices whose element are all 0’s or 1’s. So, through this project we will show how the matrix manipulation is taking place using MIPS programming language. MIPS is a reduced instruction set computer set architecture developed by MIPS Technologies. The early MIPS architecture was 32-bit with 64-bit versions added later. Also, the project is compiled to show Matrix addition of two different matrices, subtraction of two different matrices, multiplication, transpose, determinant, scaling of matrix.",1,https://api.osf.io/v2/files/5f2a86f99c9094028648da34/,4,https://engrxiv.org/zuvxf/,10.31224/osf.io/zuvxf,,2020-08-05T15:04:15.469059,2020-08-05T15:04:43.960205
ej7u3,"Where that emissions went? Characterising the uncertainty of characterisation factors of underspecified emissions.","Life cycle impact assessment (LCIA) methods use unspecified archetypes to model situations of imperfect knowledge. There is an inherent uncertainty in characterisation factors to unspecified archetypes, and this study proposes an estimation of this uncertainty using continuous and discrete probability distributions. The extent of “archetype uncertainty” is analysed for several methods and the impact on LCIA scores is quantified for all activities in the database ecoinvent. Results indicate that this source of uncertainty can be very large, introducing systematic as well as random errors in LCIA scores. Based on this research we recommend using undefined archetypes only when needed and quantify this source of uncertainty by default. The continuous and discrete approaches to model uncertainty give similar results, but the continuous approach is easier to implement.",1,https://api.osf.io/v2/files/5f2921ccb084f60202c9a430/,18,https://engrxiv.org/ej7u3/,10.31224/osf.io/ej7u3,,2020-08-04T13:34:44.581888,2020-08-04T13:35:10.348301
t3q5p,"Recent Data Augmentation Strategies for Deep Learning in Plant Phenotyping and Their Significance","Plant phenotyping concerns the study of plant traits resulted from their interaction with their environment. Computer vision (CV) techniques represent promising, non-invasive approaches for related tasks such as leaf counting, defining leaf area, and tracking plant growth. Between potential CV techniques, deep learning has been prevalent in the last couple of years. Such an increase in interest happened mainly due to the release of a data set containing rosette plants that defined objective metrics to benchmark solutions. This paper discusses an interesting aspect of the recent best-performing works in this field: the fact that their main contribution comes from novel data augmentation techniques, rather than model improvements. Moreover, experiments are set to highlight the significance of data augmentation practices for limited data sets with narrow distributions. This paper intends to review the ingenious techniques to generate synthetic data to augment training and display evidence of their potential importance.",1,https://api.osf.io/v2/files/5f291a72b084f60202c996d5/,6,https://engrxiv.org/t3q5p/,10.31224/osf.io/t3q5p,,2020-08-04T13:32:55.878099,2020-08-04T13:33:24.291825
u6fcb,"A Holistic Optimization Model for Integrated Tactical Level Planning in Liner Shipping","Supply chain management plays an important role in ensuring an efficient merchandise trade. Freight transportation is an integral part of supply chain management. A significant part of freight transportation is covered by maritime transportation, as the largest portion of the global merchandise trade, in terms of volume, is carried out by maritime transportation. Liner shipping, which runs on fixed routes and schedules, plays a colossal role for the global seaborne trade. Liner shipping companies deal with three decision levels, namely strategic level, tactical level, and operational level. The strategic-level decisions are taken for more than six months to several years. The tactical-level decisions are effective for three months to six months. Moreover, the operational level decisions are taken for a couple of weeks to less than three months.

This dissertation involves the tactical-level decisions in liner shipping, which include: (1) service frequency determination; (2) fleet deployment; (3) sailing speed optimization; and (4) vessel scheduling. The service frequency determination problem deals with determining the time headway between consecutive vessels along a liner shipping route. The fleet deployment problem assigns vessels from the liner shipping company’s fleet (and sometimes, from other liner shipping companies’ fleets) to liner shipping routes. The sailing speed optimization problem deals with selecting sailing speeds along different voyage legs of a given port rotation. The vessel scheduling problem lists the schedules (e.g., arrival time, handling time, departure time) at different ports.

A comprehensive review of the liner shipping literature revealed that the existing literature on the tactical-level decisions focused on these problems individually. Solutions from different solution methodologies for the separate problems may have compatibility problems. Moreover, they are not attractive to the liner shipping companies, who look for integrated solutions. Hence, this research aimed to develop a combined mathematical model that comprises the four tactical-level decisions in liner shipping (i.e., service frequency determination, fleet deployment, sailing speed optimization, and vessel scheduling). This mathematical model is named the Holistic Optimization Model for Tactical-Level Planning in Liner Shipping (HOMTLP).

The objective of the HOMTLP mathematical model is to maximize of the total profit from transport of cargo. The major route service cost components, found from the literature, are covered by the model, which include: (I) total late arrival cost; (II) total port handling cost; (III) total fuel consumption cost; (IV) total vessel operational cost; (V) total vessel chartering cost; (VI) total container inventory cost in sea; (VII) total container inventory cost at ports of call; (VIII) total emission cost in sea; and (IX) total emission cost at ports of call. Along with the integration of all four tactical-level decisions, the mathematical model has a number of key advantages. First, the model provides flexibility to both the liner shipping company and the marine container terminal operators, as it offers multiple time windows and handling rates at each port of call. Second, the payload carried by the vessels is considered while estimating fuel consumption. Third, the preference of customers is reflected by modification of the container demand at different sailing speeds. Fourth, container inventory is accounted for at ports of call and in sea. Fifth, emissions of different harmful substances are captured in order to preserve the environment.

This dissertation carried out a set of numerical experiments to test the performance of the HOMTLP model, where BARON was used as the solution approach. It was revealed that when there was an increase in the unit fuel cost, the unit emission cost, vessel availability, the unit late arrival cost, and the unit freight rate, the sailing speed was reduced. On the other hand, when there was an increase in the unit inventory cost, the unit operational cost, as well as the unit chartering cost, the sailing speed was increased. Moreover, the total required number of vessels was increased, when there as an increase in the unit fuel cost, the unit emission cost, vessel availability, the unit late arrival cost, and the unit freight rate. On the contrary, the total required number of vessels was decreased, when there was an increase in the unit inventory cost, the unit operational cost as well as the unit chartering cost. It was also revealed that the total profit was increased, when more choices were available for time windows and/or container handling rates. The numerical experiments highlighted several other findings. Most importantly, it was found that the HOMTLP model can provide effective tactical-level decisions. Hence, the mathematical model can assist liner shipping companies to take tactical-level decisions, which are effective and profitable.",1,https://api.osf.io/v2/files/5f28755c5f705a01f36181b4/,23,https://engrxiv.org/u6fcb/,10.31224/osf.io/u6fcb,,2020-08-04T13:31:18.825197,2020-08-04T13:31:44.200521
z674t,"Large Eddy Simulation of Hurricane Boundary Layer Turbulence and Its Application for Power Transmission System","Recent extreme hurricanes caused a huge loss in damages to critical civil infrastructure. To estimate hurricane wind loading on structures, spectral methods are widely used to generate neutral atmosphere boundary layer winds, which however are limited to describe extreme wind fields that are non-stationary and more turbulent. To overcome this limitation, a high-fidelity high-resolution computational model is developed to simulate hurricane wind field with detailed physics. A large eddy simulation (LES) solver is developed using a sub-grid-scale model based on open source program OpenFOAM. The simulated wind field is validated through comparison with observations. The generated wind field is applied to analyze structural response of a power transmission system. The proposed hurricane boundary layer (HBL) model and a neutral atmosphere boundary layer (ABL) model are compared in tropical storm and category-3 hurricane scenarios. Compared with the HBL model, the ABL model doesn't consider the mesoscale terms and overestimates the crosswind velocity and the turbulent kinetic energy (TKE) near the ground. As a result, the ABL model overestimates the dynamic responses of the wires and towers. The developed HBL model captures the main characteristics of hurricane wind and is applicable for modeling civil infrastructure exposed to hurricanes at a large scale.",1,https://api.osf.io/v2/files/5f286fba5f705a01ee618daa/,60,https://engrxiv.org/z674t/,10.31224/osf.io/z674t,,2020-08-04T13:28:20.901497,2020-08-04T13:28:40.882372
